Station_Names,YEAR,Month,Temprature,Rainfall
Cox's Bazar,1949,7,33.7,960
Cox's Bazar,1949,8,31.7,683
Cox's Bazar,1949,9,32.5,359
Cox's Bazar,1949,10,32.9,238
Cox's Bazar,1949,11,32.2,65
Cox's Bazar,1949,12,28.5,4
Dinajpur,1949,1,27.7,8
Dinajpur,1949,2,32.9,52
Dinajpur,1949,3,37.3,25
Dinajpur,1949,4,35.1,111
Dinajpur,1949,5,34.3,450
Dinajpur,1949,6,35.6,586
Dinajpur,1949,7,34.3,296
Dinajpur,1949,8,33.6,291
Dinajpur,1949,9,36.7,330
Dinajpur,1949,10,34.4,150
Dinajpur,1949,11,31,0
Dinajpur,1949,12,28.1,0
Faridpur,1949,1,24.6,0
Faridpur,1949,2,32.5,12
Faridpur,1949,3,34.2,75
Faridpur,1949,4,34,441
Faridpur,1949,5,33.5,417
Faridpur,1949,6,34.4,482
Faridpur,1949,7,31.7,412
Faridpur,1949,8,31.7,261
Faridpur,1949,9,34.2,377
Faridpur,1949,10,32.1,96
Faridpur,1949,11,30.3,0
Faridpur,1949,12,26.4,0
Jessore,1949,1,26.9,14
Jessore,1949,2,34.4,2
Jessore,1949,3,36.2,30
Jessore,1949,4,36.6,321
Jessore,1949,5,36.2,212
Jessore,1949,6,35,150
Jessore,1949,7,35,343
Jessore,1949,8,34.6,326
Jessore,1949,9,35.6,173
Jessore,1949,10,36.4,216
Jessore,1949,11,31.7,0
Jessore,1949,12,29.6,0
Khulna,1949,1,31.6,0
Khulna,1949,2,36.1,1
Khulna,1949,3,35.6,25
Khulna,1949,4,34.4,271
Khulna,1949,5,36.1,143
Khulna,1949,6,35,311
Khulna,1949,7,33.3,268
Khulna,1949,8,33.3,190
Khulna,1949,9,34.4,130
Khulna,1949,10,33.9,85
Khulna,1949,11,32.8,0
Khulna,1949,12,30.2,0
Mymensingh,1949,1,25.7,2
Mymensingh,1949,2,29.3,8
Mymensingh,1949,3,32.6,26
Mymensingh,1949,4,33.6,93
Mymensingh,1949,5,32.8,297
Mymensingh,1949,6,32.2,399
Mymensingh,1949,7,31.8,398
Mymensingh,1949,8,31.9,330
Mymensingh,1949,9,31.9,301
Mymensingh,1949,10,31.6,169
Mymensingh,1949,11,30.2,11
Mymensingh,1949,12,27.6,1
Satkhira,1949,1,28.8,1
Satkhira,1949,2,35.6,1
Satkhira,1949,3,37.2,0
Satkhira,1949,4,35.7,149
Satkhira,1949,5,37,368
Satkhira,1949,6,36.9,384
Satkhira,1949,7,34.2,239
Satkhira,1949,8,33.5,419
Satkhira,1949,9,34.9,109
Satkhira,1949,10,34.3,57
Satkhira,1949,11,31.7,0
Satkhira,1949,12,30.6,0
Srimangal,1949,1,27.9,6
Srimangal,1949,2,34.5,1
Srimangal,1949,3,36.7,58
Srimangal,1949,4,33.9,360
Srimangal,1949,5,33.9,321
Srimangal,1949,6,34.5,639
Srimangal,1949,7,33.8,310
Srimangal,1949,8,34.5,245
Srimangal,1949,9,36.1,317
Srimangal,1949,10,33.9,165
Srimangal,1949,11,32.2,5
Srimangal,1949,12,30.6,0
Barisal,1950,1,30,0
